text,label
Nicki Minaj and Cardi B Just Squashed Those Feud Rumors At The Met Gala,0
the latest Revenge news and Revenge spoilers collected from 1000+ sources at Revenge Headliner.org,0
"ABC Sets Finale Dates for Grey's, Roseanne, S.H.I.E.L.D. and 14 Others",0
John Cena Plays His Entire Family (And Slimes and Kisses Himself) for Kids' Choice Awards,0
"'America's Got Talent': A Techno Magician, a Daredevil Clown, and a Teenage Singer Impress the Judge",0
Doctor Who fans correctly guessed who was hidden in the vault,0
Jon Hamm Reflects on Soft-Core Porn Past and 'Stupid' Fraternity Hazing Incident,0
Kristin Cavallari tells Jay Cutler: 'I'm with you because I love you not because I need you.',0
Cole Swindell Shows Fans How His 'All of It' Video Storyline Reached a Happy Ending: Exclusive,0
Best Dressed Celebrities At Cannes Film Festival 2017,0
"Mariska Hargitay, Brooke Shields on the Law and Order: SVU Twist That's ""Excruciating"" for Benson to Navigate — Steemit",0
"TV's Reboot Trend Triggers Viewer Rage, Backlash: 'Stop the Insanity!'",0
Alec Baldwin on Trump's SNL tweets: 'We don't force anyone to watch',0
Ed Westwick rape allegation 'being investigated by LAPD',0
YouTube star Logan Paul says he’s ‘ashamed’ as backlash grows over video of dead body in Japan ‘suicide forest’,0
A Tribute to The Office's Jim and Pam,0
Reese Witherspoon gave a tearful speech about Goldie Hawn at the Hollywood Walk of Fame,0
Ray Romano enlisted the help of Jimmy Kimmel to find his son a girlfriend,0
Alessandra Ambrosio's Final Victoria's Secret Walk Was So Emotional,0
"Kevin McKidd Marries Arielle Goldrath, Expecting Baby",0
Olivia Palermo's rules and warnings for wearing ugly shoes,0
The Office Actor Hugh Dane's Cause of Death Revealed,0
Coco Austin puts on a busty display she steps out Chanel,0
"Harry Styles' Galactic Sweater, Selena Gomez's Perfect LBD & More Best Dressed Stars of the Week",0
Prince Harry Calls Princess Diana 'My Ideal Role Model' at Obama Foundation Summit,0
Watch Seductive Paris Jackson's Film Debut in 'Gringo',0
Your Comprehensive Guide to the Kim Cattrall–Sarah Jessica Parker Beef,0
Russell Simmons issues statement supporting #MeToo despite sexual assault allegations,0
"Watch Jimmy Fallon Hilariously Cover Journey, Get Heckled By Will Ferrell",0
DJ Slips Prince Harry His Business Card in Bid for Wedding Gig,0
Who pays? Bravo? : BravoRealHousewives,0
New Girl Season 7 Premiere Date Set,0
Colbert show spoofs White House Christmas message with fake Melania,0
"A 'Princess Diaries 3' may be in the works, according to Julie Andrews",0
Alaska bride surprised by her late son's heart recipient,0
Late night TV lets loose on Harvey Weinstein,0
Hilary Duff Son Luca Short Haircut An Accident,0
What is the meaning of the video of Justin Timberlake's Mirror?,0
Skier Lindsey Vonn leaves the 2018 Winter Olympics with lots of tweets but just one medal,0
Watch Justin Theroux Give Conan O'Brien a Unicorn Tattoo,0
Prince William And Kate Middleton Taking The Kids On A 'Charm Offensive' to Poland and Germany,0
Selena Gomez Stuart Weitzman White Sock Booties Shop,0
Anthony Bourdain's death: Celebrity chefs 'in complete shock',0
LeAnn Rimes Shares the Secret to Her Blended Family: ''Little Things Don't Bother Us'',0
Watch Kim Kardashian and Kanye West Celebrate New Year&#39;s Eve With One Sweet Kiss on Kardashians,0
Jennifer Lawrence Got Into a Bar Fight With Fan in Budapest,0
Avril Lavigne to wed Nickelback front man Chad Kroeger,0
Jimmy Kimmel Mocks Kanye West's TMZ Interview,0
A History of Heather Locklear's Struggles Since Her Reign as Queen of the '90s,0
"Inside Kate Middleton’s Domestic Life: The House, the Facials, the Roast-Chicken Recipe",0
Pink Panics Before Hanging Off L.A. Hotel for AMAs 2017 Performance,0
"Iggy Azalea Is ""Obsessed"" with One Particular Photo in Paris Hilton's Home",0
Kristin Cavallari and Jay Cutler Net Worth,0
Sofia Richie and Scott Disick Reunite in Malibu as She Reiterates They Are Just Friends,0
"The Real Housewives of Atlanta Reunion Trailer Is Full of ""Truth Tea,"" Tears, Drama and Behind-the-Scenes Action",0
Tiffany Haddish's 2018 Oscars Gown Is Inspired by Her Late Father,0
Harry and Meghan’s Wedding Will Be Very Different From William and Kate’s,0
All The Details On Pippa Middleton And James Matthews Bespoke Wedding Cake,0
Trey Songz Alleged Assault Victim Granted Temporary Restraining Order,0
Game of Thrones: The 2 Big Nymeria Moments Everybody Is Talking About,0
"Coachella 2018 lineup: Beyoncé, Eminem and The Weeknd headline",0
Will & Grace's Eric McCormack Says Changes Are Coming in Season 10,0
‘Once Upon a Time’ Zeroes In On 4 Cast Members For Potential Season 7 Reboot,0
Sofia Vergara has a fresh haircut for her birthday — see her new look!,0
Can Drake stop trying to control women’s sexuality?,0
Kim Kardashian takes kids to Disneyland with Kourtney and family,0
Laura Govan Reveals Truth Behind Tamar Braxton & Vincent Herbert Drama: Is She Pregnant With His Child?,0
I Am Elizabeth Smart,0
Kathryn C. Dennis Wanted to Show Everyone How Much She's Changed at the Season 4 Reunion,0
Two-Hour 'Sense 8' Finale is Now Streaming on Netflix,0
